Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,duration,duration_formatted,Found
55265220,2022-08-31 21:59:38,2022-09-01 07:22:31,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11238.0,159 EASTERN PARKWAY,159 EASTERN PARKWAY,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,EASTERN PARKWAY,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 07:22:31 AM,08 BROOKLYN,3011790097.0,BROOKLYN,994328.0,184103.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67199121761855,-73.96366943894067,"(40.67199121761855, -73.96366943894067)",13829.0,16.0,2.0,48.0,49.0,9.381388888888887,0 days 9 hours 22 minutes 53 seconds,0.0
55265165,2022-08-31 21:48:14,2022-09-01 01:07:14,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10002.0,47 PITT STREET,47 PITT STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,PITT STREET,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 01:07:14 AM,03 MANHATTAN,1003430070.0,MANHATTAN,988952.0,200615.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71731731571966,-73.98303805657083,"(40.71731731571966, -73.98303805657083)",11723.0,70.0,4.0,32.0,4.0,3.316666666666667,0 days 3 hours 19 minutes 0 seconds,1.0
55267526,2022-08-31 21:46:54,2022-09-01 05:13:06,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10019.0,WEST   57 STREET,WEST   57 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,BLOCKFACE,MANHATTAN,,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 05:13:06 AM,04 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7658781,-73.9808768,"(40.7658781, -73.9808768)",,,,,,7.436666666666666,0 days 7 hours 26 minutes 12 seconds,1.0
55270001,2022-08-31 21:37:38,2022-09-01 01:11:39,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10012.0,226 LAFAYETTE STREET,226 LAFAYETTE STREET,KENMARE STREET,CLEVELAND PLACE,KENMARE STREET,CLEVELAND PLACE,ADDRESS,NEW YORK,LAFAYETTE STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:11:39 AM,02 MANHATTAN,1004820022.0,MANHATTAN,984996.0,202359.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.72210539386983,-73.99730869442628,"(40.722105393869825, -73.99730869442628)",12075.0,57.0,4.0,32.0,2.0,3.5669444444444443,0 days 3 hours 34 minutes 1 seconds,0.0
55266361,2022-08-31 21:28:27,2022-09-01 06:59:31,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10009.0,224 1 AVENUE,224 1 AVENUE,EAST   13 STREET,EAST   14 STREET,EAST   13 STREET,EAST   14 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,09/01/2022 06:59:35 AM,03 MANHATTAN,1004417501.0,MANHATTAN,989003.0,205577.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73093677533559,-73.98285057537105,"(40.730936775335586, -73.98285057537105)",11724.0,70.0,4.0,50.0,5.0,9.517777777777775,0 days 9 hours 31 minutes 4 seconds,1.0
55265190,2022-08-31 21:25:47,2022-09-01 01:01:46,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,10025.0,RIVERSIDE DRIVE,RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST   95 STREET,RIVERSIDE DRIVE,WEST 95 STREET,INTERSECTION,MANHATTAN,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:01:46 AM,07 MANHATTAN,,MANHATTAN,990915.0,229110.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79552755821013,-73.97592850499105,"(40.79552755821013, -73.97592850499105)",12421.0,20.0,4.0,19.0,15.0,3.5997222222222223,0 days 3 hours 35 minutes 59 seconds,0.0
55268727,2022-08-31 21:22:37,2022-09-01 01:07:26,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11385.0,69-36 67 STREET,69-36 67 STREET,OTTO ROAD,70 AVENUE,OTTO ROAD,70 AVENUE,ADDRESS,RIDGEWOOD,67 STREET,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 01:07:26 AM,05 QUEENS,4036470023.0,QUEENS,1015284.0,196261.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705313448204805,-73.88806841681713,"(40.705313448204805, -73.88806841681713)",15310.0,54.0,3.0,34.0,62.0,3.746944444444445,0 days 3 hours 44 minutes 49 seconds,1.0
55270003,2022-08-31 21:17:54,2022-09-01 01:11:52,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11220.0,843 54 STREET,843 54 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,54 STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:11:52 AM,12 BROOKLYN,3056650061.0,BROOKLYN,982850.0,171821.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.63828544001853,-74.0050443632502,"(40.63828544001853, -74.0050443632502)",18180.0,2.0,2.0,7.0,39.0,3.899444444444444,0 days 3 hours 53 minutes 58 seconds,0.0
55271252,2022-08-31 21:11:01,2022-09-04 22:56:00,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,10006.0,"Rector Street, Trinity Place, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10006, United States","Rector Street, Trinity Place, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10006, United States",MANHATTAN,,,,ADDRESS,City of New York,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/04/2022 10:56:00 PM,Unspecified MANHATTAN,,MANHATTAN,980550.0,196936.0,MOBILE,Unspecified,MANHATTAN,,,,R,R W Downtown & Brooklyn,,Platform,40.70721981245554,-74.0133453177322,"(40.70721981245554, -74.0133453177322)",11727.0,56.0,4.0,32.0,1.0,97.74972222222222,4 days 1 hours 44 minutes 59 seconds,0.0
55267527,2022-08-31 21:01:49,2022-09-01 01:12:22,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11385.0,69-34 67 STREET,69-34 67 STREET,OTTO ROAD,70 AVENUE,OTTO ROAD,70 AVENUE,ADDRESS,RIDGEWOOD,67 STREET,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 01:12:22 AM,05 QUEENS,4036470022.0,QUEENS,1015282.0,196267.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70532992379229,-73.88807560263986,"(40.70532992379229, -73.88807560263986)",15310.0,54.0,3.0,34.0,62.0,4.175833333333334,0 days 4 hours 10 minutes 33 seconds,1.0
55273657,2022-08-31 20:59:55,2022-09-01 01:12:38,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10023.0,1965 BROADWAY,1965 BROADWAY,WEST 66 STREET,WEST 67 STREET,WEST   66 STREET,WEST   67 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:12:38 AM,07 MANHATTAN,1011387502.0,MANHATTAN,989172.0,221311.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.77412252527732,-73.98222928513631,"(40.77412252527732, -73.98222928513631)",12420.0,20.0,4.0,19.0,12.0,4.211944444444445,0 days 4 hours 12 minutes 43 seconds,0.0
55268767,2022-08-31 20:54:56,2022-08-31 21:08:40,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10019.0,1720 BROADWAY,1720 BROADWAY,BIG APPLE CORNER,WEST 55 STREET,BIG APPLE CORNER,WEST   55 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",08/31/2022 09:08:40 PM,05 MANHATTAN,1010260021.0,MANHATTAN,989151.0,217786.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76444732890168,-73.9823076754214,"(40.764447328901674, -73.9823076754214)",12081.0,11.0,4.0,51.0,10.0,0.2288888888888889,0 days 0 hours 13 minutes 44 seconds,
55268724,2022-08-31 20:53:59,2022-09-01 01:31:23,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10011.0,119 WEST   23 STREET,119 WEST   23 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   23 STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:31:23 AM,04 MANHATTAN,1007990028.0,MANHATTAN,986026.0,210062.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74324808983757,-73.99359078348004,"(40.74324808983757, -73.99359078348004)",12074.0,12.0,4.0,10.0,7.0,4.623333333333333,0 days 4 hours 37 minutes 24 seconds,0.0
55267563,2022-08-31 20:45:49,2022-09-01 01:08:04,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10023.0,170 COLUMBUS AVENUE,170 COLUMBUS AVENUE,WEST 67 STREET,WEST 68 STREET,WEST   67 STREET,WEST   68 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 01:08:04 AM,07 MANHATTAN,1011397503.0,MANHATTAN,989546.0,221473.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.77456695663467,-73.98087884312773,"(40.77456695663467, -73.98087884312773)",12420.0,20.0,4.0,19.0,12.0,4.370833333333334,0 days 4 hours 22 minutes 15 seconds,1.0
55271230,2022-08-31 20:31:19,2022-09-01 06:58:22,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10003.0,2 AVENUE,2 AVENUE,2 AVENUE,EAST    9 STREET,2 AVENUE,EAST    9 STREET,INTERSECTION,City of New York,,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,09/01/2022 06:58:25 AM,03 MANHATTAN,,MANHATTAN,987784.0,204939.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72918619246994,-73.9872492164216,"(40.72918619246994, -73.9872492164216)",11724.0,70.0,4.0,50.0,5.0,10.450833333333334,0 days 10 hours 27 minutes 3 seconds,1.0
55265186,2022-08-31 20:28:13,2022-09-01 01:04:29,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10019.0,162 WEST   56 STREET,162 WEST   56 STREET,6 1/2 AVENUE,WYNN HANDMAN WAY,6 1/2 AVENUE,WYNN HANDMAN WAY,ADDRESS,NEW YORK,WEST   56 STREET,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,09/01/2022 01:04:37 AM,05 MANHATTAN,1010087502.0,MANHATTAN,989820.0,217831.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76457044610015,-73.97989258717313,"(40.76457044610015, -73.97989258717313)",12081.0,11.0,4.0,51.0,10.0,4.604444444444445,0 days 4 hours 36 minutes 16 seconds,1.0
55267558,2022-08-31 20:14:05,2022-09-01 01:12:11,DHS,Department of Homeless Services,Homeless Person Assistance,,House of Worship,10023.0,COLUMBUS AVENUE,COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   60 STREET,COLUMBUS AVENUE,WEST 60 STREET,INTERSECTION,MANHATTAN,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 01:12:11 AM,07 MANHATTAN,,MANHATTAN,988595.0,219754.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76984926945831,-73.98431353078193,"(40.769849269458305, -73.98431353078193)",12420.0,20.0,4.0,10.0,12.0,4.968333333333334,0 days 4 hours 58 minutes 6 seconds,0.0
55271232,2022-08-31 19:59:45,2022-09-03 07:57:23,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10107.0,250 WEST   57 STREET,250 WEST   57 STREET,BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,ADDRESS,NEW YORK,WEST   57 STREET,,Closed,,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",09/03/2022 07:57:32 AM,05 MANHATTAN,1010280056.0,MANHATTAN,989203.0,218494.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76639057686906,-73.98211943675079,"(40.76639057686906, -73.98211943675079)",12081.0,11.0,4.0,10.0,10.0,59.96055555555556,2 days 11 hours 57 minutes 38 seconds,0.0
55266373,2022-08-31 19:56:01,2022-09-01 01:43:22,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11208.0,BELMONT AVENUE,BELMONT AVENUE,BELMONT AVENUE,DOSCHER STREET,BELMONT AVENUE,DOSCHER STREET,INTERSECTION,BROOKLYN,,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 01:43:22 AM,05 BROOKLYN,,BROOKLYN,1019657.0,184868.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.674025900253525,-73.87235603912987,"(40.674025900253525, -73.87235603912987)",17215.0,45.0,2.0,25.0,47.0,5.789166666666667,0 days 5 hours 47 minutes 21 seconds,1.0
55266346,2022-08-31 19:48:31,2022-09-01 05:05:15,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10023.0,2141 BROADWAY,2141 BROADWAY,WEST 75 STREET,WEST 76 STREET,WEST   75 STREET,WEST   76 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",09/01/2022 05:05:15 AM,07 MANHATTAN,1011677503.0,MANHATTAN,989438.0,223885.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.78118732466781,-73.98126691371817,"(40.78118732466781, -73.98126691371817)",12420.0,20.0,4.0,19.0,12.0,9.278888888888888,0 days 9 hours 16 minutes 44 seconds,1.0
55272461,2022-08-31 19:41:20,2022-09-01 05:13:35,DHS,Department of Homeless Services,Homeless Person Assistance,,House of Worship,11373.0,84-07 BROADWAY,84-07 BROADWAY,ST JAMES AVENUE,CORONA AVENUE,ST JAMES AVENUE,CORONA AVENUE,ADDRESS,ELMHURST,BROADWAY,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 05:13:35 AM,04 QUEENS,4015820001.0,QUEENS,1017956.0,208842.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.73983544211632,-73.87836821155484,"(40.739835442116316, -73.87836821155484)",14784.0,66.0,3.0,5.0,68.0,9.5375,0 days 9 hours 32 minutes 15 seconds,0.0
55273639,2022-08-31 19:36:16,2022-09-01 08:18:11,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10019.0,604 WEST   54 STREET,604 WEST   54 STREET,11 AVENUE,12 AVENUE,11 AVENUE,12 AVENUE,ADDRESS,NEW YORK,WEST   54 STREET,,Closed,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,09/01/2022 08:18:16 AM,04 MANHATTAN,1011000001.0,MANHATTAN,986141.0,219273.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76852991509679,-73.99317318169848,"(40.76852991509679, -73.99317318169848)",12081.0,12.0,4.0,10.0,10.0,12.698611111111113,0 days 12 hours 41 minutes 55 seconds,1.0
55273659,2022-08-31 19:26:54,2022-08-31 19:45:03,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11222.0,236 RICHARDSON STREET,236 RICHARDSON STREET,NORTH HENRY STREET,MONITOR STREET,NORTH HENRY STREET,MONITOR STREET,ADDRESS,BROOKLYN,RICHARDSON STREET,,Closed,,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",08/31/2022 07:45:03 PM,01 BROOKLYN,3028570025.0,BROOKLYN,1000397.0,201264.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71908517858578,-73.94174993962979,"(40.71908517858578, -73.94174993962979)",17613.0,36.0,2.0,30.0,57.0,0.3025,0 days 0 hours 18 minutes 9 seconds,
55268770,2022-08-31 19:21:43,2022-09-01 05:13:55,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10011.0,201 SEVENTH AVENUE,201 SEVENTH AVENUE,WEST 21 STREET,WEST 22 STREET,WEST   21 STREET,WEST   22 STREET,ADDRESS,NEW YORK,7 AVENUE,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 05:13:55 AM,04 MANHATTAN,1007970083.0,MANHATTAN,985278.0,210041.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74319056866412,-73.99629016391322,"(40.74319056866412, -73.99629016391322)",12074.0,12.0,4.0,10.0,7.0,9.87,0 days 9 hours 52 minutes 12 seconds,0.0
55266369,2022-08-31 19:19:22,2022-09-01 05:14:07,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,11223.0,71 AVENUE V,71 AVENUE V,WEST 12 STREET,WEST 11 STREET,WEST   12 STREET,WEST   11 STREET,ADDRESS,BROOKLYN,AVENUE V,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/01/2022 05:14:07 AM,13 BROOKLYN,3071150052.0,BROOKLYN,989267.0,155637.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59386240278373,-73.98193518983028,"(40.59386240278373, -73.98193518983028)",18183.0,21.0,2.0,45.0,35.0,9.9125,0 days 9 hours 54 minutes 45 seconds,0.0
55272438,2022-08-31 19:14:49,2022-09-01 07:00:32,DHS,Department of Homeless Services,Encampment,,Street/Sidewalk,10009.0,600 EAST    6 STREET,600 EAST    6 STREET,DONALD SUGGS JR WAY,AVENUE C,DONALD SUGGS JR WAY,AVENUE C,ADDRESS,NEW YORK,EAST    6 STREET,,Closed,,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",09/01/2022 07:00:35 AM,03 MANHATTAN,1003870001.0,MANHATTAN,989372.0,203208.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72443424192196,-73.98152097994372,"(40.72443424192196, -73.98152097994372)",11729.0,70.0,4.0,50.0,5.0,11.761944444444444,0 days 11 hours 45 minutes 43 seconds,0.0
